Individual,MatchNo,Team1,Team2,Date,Time,Venue,Leg
1,1,Zed,El Dakhleya,2025-12-11,17:00,Alexandria Stadium,2
1,2,Pyramids,El Gouna,2025-11-29,20:00,Petro Sport Stadium,1
1,3,ENPPI,Pharco,2025-12-27,17:00,Borg El Arab,1
1,4,Ismaily,Wadi Degla,2025-10-20,17:00,Cairo Stadium,1
1,5,Alexandria Union,El Gouna,2025-11-29,20:00,Cairo Stadium,1
1,6,Talaea El Gaish,ENPPI,2025-11-04,17:00,Military Academy Stadium,2
1,7,Zed,ENPPI,2025-08-22,20:00,Zed Club Stadium,2
1,8,Al Ahly,El Dakhleya,2025-12-14,20:00,Petro Sport Stadium,1
1,9,Pharco,Alexandria Union,2025-09-06,20:00,Petro Sport Stadium,2
1,10,Zamalek,ENPPI,2025-09-26,20:00,Zed Club Stadium,1
1,11,Pharco,National Bank,2025-09-10,17:00,Zed Club Stadium,2
1,12,National Bank,Alexandria Union,2025-10-19,17:00,Military Academy Stadium,1
1,13,Modern Sport,National Bank,2026-01-13,20:00,Borg El Arab,2
1,14,Modern Sport,Smouha,2025-07-03,17:00,Borg El Arab,2
1,15,National Bank,Masry,2025-12-06,17:00,Cairo Stadium,2
1,16,Pyramids,Zamalek,2025-10-31,20:00,Suez Stadium,2
1,17,Masry,Future,2025-06-23,20:00,Suez Stadium,1
1,18,El Dakhleya,Future,2025-12-29,20:00,Military Academy Stadium,2
1,19,Zed,Al Ahly,2025-11-05,20:00,Suez Stadium,2
1,20,ENPPI,Ceramica,2026-01-19,20:00,Petro Sport Stadium,1
1,21,Ceramica,Wadi Degla,2025-05-18,20:00,Suez Stadium,1
1,22,El Gouna,Smouha,2025-07-14,20:00,Al Salam Stadium,2
1,23,Ceramica,Future,2025-12-03,17:00,Zed Club Stadium,2
1,24,Ismaily,ENPPI,2025-07-08,17:00,Petro Sport Stadium,1
1,25,Smouha,Al Ahly,2026-01-25,20:00,Cairo Stadium,2
1,26,Masry,ENPPI,2025-09-25,17:00,Military Academy Stadium,1
1,27,Pharco,Wadi Degla,2025-09-03,17:00,Al Salam Stadium,1
1,28,Pharco,Talaea El Gaish,2025-08-08,20:00,Military Academy Stadium,2
1,29,Masry,Wadi Degla,2025-05-30,17:00,Al Salam Stadium,1
1,30,Pharco,Al Ahly,2025-10-23,20:00,Borg El Arab,2
1,31,Zed,Ceramica,2025-09-13,20:00,Cairo Stadium,2
1,32,Wadi Degla,Al Ahly,2025-06-16,17:00,Borg El Arab,2
1,33,Pyramids,Alexandria Union,2025-11-11,20:00,Petro Sport Stadium,1
1,34,Talaea El Gaish,National Bank,2026-01-02,20:00,Borg El Arab,2
1,35,ENPPI,Zamalek,2025-05-06,20:00,Borg El Arab,2
1,36,Talaea El Gaish,Wadi Degla,2025-08-27,20:00,Petro Sport Stadium,1
1,37,Zamalek,Talaea El Gaish,2025-12-21,17:00,El Sekka El Hadeed Stadium,1
1,38,Alexandria Union,Pharco,2025-10-11,20:00,Petro Sport Stadium,1
1,39,Zamalek,Modern Sport,2025-08-31,20:00,Alexandria Stadium,1
1,40,Pharco,Zed,2025-08-03,20:00,Military Academy Stadium,2
1,41,Ceramica,Modern Sport,2025-08-12,17:00,Al Salam Stadium,1
1,42,Modern Sport,Al Ahly,2025-07-17,20:00,Alexandria Stadium,2
1,43,Masry,National Bank,2025-06-15,20:00,El Sekka El Hadeed Stadium,1
1,44,El Dakhleya,Pyramids,2025-11-29,20:00,Cairo Stadium,2
1,45,Pharco,Pyramids,2026-01-31,17:00,Suez Stadium,2
1,46,National Bank,ENPPI,2025-10-06,20:00,El Sekka El Hadeed Stadium,2
1,47,Pyramids,Talaea El Gaish,2025-05-09,17:00,Air Defense Stadium,1
1,48,Talaea El Gaish,Zamalek,2025-08-29,20:00,Air Defense Stadium,2
1,49,Ceramica,Pyramids,2026-01-06,17:00,Air Defense Stadium,2
1,50,Zamalek,Ceramica,2026-01-20,17:00,Petro Sport Stadium,1
1,51,Ismaily,El Gouna,2025-09-14,20:00,Al Salam Stadium,1
1,52,Modern Sport,Ismaily,2025-08-06,20:00,Al Salam Stadium,2
1,53,Wadi Degla,ENPPI,2025-11-24,20:00,Air Defense Stadium,2
