Match#,Team1,Team2,Leg,Date,Time,Venue
1,El Gouna,Pharco,1,2025-06-04,17:00,Alexandria Stadium
2,Future,Modern Sport,1,2025-05-23,17:00,El Sekka El Hadeed Stadium
3,Talaea El Gaish,Al Ahly,2,2025-08-27,20:00,El Sekka El Hadeed Stadium
4,Masry,Zamalek,2,2025-06-17,20:00,Alexandria Stadium
5,Pyramids,National Bank,1,2025-09-20,20:00,Petro Sport Stadium
6,National Bank,Smouha,2,2026-01-31,20:00,Military Academy Stadium
7,Pyramids,Ismaily,1,2025-08-17,20:00,Military Academy Stadium
8,Future,Ismaily,1,2025-06-12,17:00,Military Academy Stadium
9,Masry,Zed,1,2025-06-06,20:00,Air Defense Stadium
10,Wadi Degla,Masry,2,2025-05-20,20:00,Military Academy Stadium
11,Al Ahly,Talaea El Gaish,1,2025-07-12,20:00,Al Salam Stadium
12,ENPPI,Masry,2,2025-09-25,20:00,Military Academy Stadium
13,Wadi Degla,Pharco,2,2025-11-22,20:00,Air Defense Stadium
14,Ceramica,Wadi Degla,1,2025-08-28,17:00,Air Defense Stadium
15,ENPPI,Future,2,2025-12-23,20:00,Cairo Stadium
16,Zamalek,El Gouna,1,2026-01-22,17:00,El Sekka El Hadeed Stadium
17,National Bank,ENPPI,2,2025-07-27,17:00,Borg El Arab
18,El Dakhleya,Alexandria Union,2,2025-10-18,17:00,El Sekka El Hadeed Stadium
19,Modern Sport,Wadi Degla,1,2026-01-19,17:00,Cairo Stadium
20,Masry,Ismaily,1,2025-12-21,20:00,Alexandria Stadium
21,Smouha,El Dakhleya,1,2025-12-28,20:00,Alexandria Stadium
22,Al Ahly,Ceramica,1,2025-08-27,20:00,Alexandria Stadium
23,Zamalek,Wadi Degla,1,2025-12-06,20:00,Suez Stadium
24,Masry,Zamalek,2,2025-11-17,20:00,Suez Stadium
25,El Gouna,El Dakhleya,2,2025-08-29,20:00,Suez Stadium
26,Ismaily,Masry,2,2025-09-22,20:00,El Sekka El Hadeed Stadium
27,Pharco,Masry,2,2025-07-07,17:00,Petro Sport Stadium
28,Modern Sport,National Bank,2,2025-11-29,20:00,Zed Club Stadium
29,Pharco,Wadi Degla,1,2025-07-01,17:00,Suez Stadium
30,El Gouna,Future,2,2025-12-12,20:00,Alexandria Stadium
31,Alexandria Union,El Dakhleya,1,2025-05-26,20:00,Cairo Stadium
32,Al Ahly,ENPPI,1,2026-01-13,20:00,Borg El Arab
33,ENPPI,Alexandria Union,1,2025-08-01,17:00,Borg El Arab
34,Ismaily,Zed,1,2025-11-27,17:00,Cairo Stadium
35,Pharco,El Dakhleya,2,2026-01-27,17:00,El Sekka El Hadeed Stadium
36,Masry,National Bank,1,2025-07-12,17:00,El Sekka El Hadeed Stadium
37,Ismaily,National Bank,1,2025-05-09,20:00,El Sekka El Hadeed Stadium
38,El Dakhleya,Pyramids,2,2025-11-11,17:00,Military Academy Stadium
39,Smouha,El Gouna,1,2025-10-25,17:00,Petro Sport Stadium
40,Al Ahly,Zamalek,1,2025-10-23,17:00,Suez Stadium
41,El Gouna,ENPPI,2,2025-10-19,17:00,Al Salam Stadium
42,Zed,Zamalek,2,2025-10-31,20:00,Petro Sport Stadium
43,Wadi Degla,Modern Sport,2,2025-07-23,20:00,Petro Sport Stadium
44,Pharco,Zed,2,2025-11-02,20:00,Military Academy Stadium
45,National Bank,Zed,1,2025-10-30,20:00,Zed Club Stadium
46,Future,Modern Sport,1,2025-08-25,20:00,Al Salam Stadium
47,Zed,Pyramids,2,2025-11-02,17:00,El Sekka El Hadeed Stadium
48,Al Ahly,Alexandria Union,1,2025-10-13,20:00,Suez Stadium
49,Pyramids,Pharco,1,2025-08-29,17:00,Cairo Stadium
50,ENPPI,Zed,1,2025-07-23,17:00,Cairo Stadium
51,Talaea El Gaish,Zamalek,2,2025-06-14,17:00,Zed Club Stadium
52,Al Ahly,Modern Sport,1,2025-12-13,20:00,Air Defense Stadium
53,Zamalek,Zed,1,2025-09-08,20:00,Zed Club Stadium
54,Pyramids,El Gouna,1,2025-09-14,20:00,Borg El Arab
55,ENPPI,Modern Sport,1,2025-11-17,20:00,Al Salam Stadium
56,National Bank,Pyramids,2,2025-08-08,17:00,Air Defense Stadium
57,Alexandria Union,Smouha,2,2026-01-16,20:00,Petro Sport Stadium
58,Zed,Future,2,2025-07-27,17:00,Cairo Stadium
59,Ismaily,Modern Sport,1,2025-05-18,17:00,El Sekka El Hadeed Stadium
60,Talaea El Gaish,El Dakhleya,1,2025-08-08,17:00,Petro Sport Stadium
61,Wadi Degla,Future,2,2026-01-16,17:00,Petro Sport Stadium
62,Modern Sport,Masry,2,2025-12-20,20:00,Air Defense Stadium
63,Ismaily,Wadi Degla,1,2025-12-31,17:00,Air Defense Stadium
64,Masry,Future,1,2025-12-17,17:00,Cairo Stadium
65,Pharco,Al Ahly,2,2025-11-26,20:00,Alexandria Stadium
66,Pharco,Zamalek,2,2025-10-06,20:00,El Sekka El Hadeed Stadium
67,Zed,Smouha,2,2025-11-09,17:00,Air Defense Stadium
68,Pyramids,Alexandria Union,1,2025-10-24,17:00,Borg El Arab
69,El Gouna,Zed,1,2025-05-29,20:00,Alexandria Stadium
70,National Bank,Pyramids,2,2025-10-08,20:00,Alexandria Stadium
71,Wadi Degla,Ceramica,2,2026-01-04,17:00,Zed Club Stadium
72,Zed,Zamalek,2,2025-07-29,20:00,Borg El Arab
73,Wadi Degla,Ismaily,2,2025-07-20,20:00,El Sekka El Hadeed Stadium
74,Ismaily,Al Ahly,2,2025-12-25,17:00,Zed Club Stadium
75,Talaea El Gaish,Modern Sport,1,2025-12-17,17:00,Military Academy Stadium
76,Future,Ceramica,1,2025-08-15,17:00,Al Salam Stadium
77,Talaea El Gaish,National Bank,2,2025-11-10,20:00,Air Defense Stadium
78,Pharco,Modern Sport,2,2025-11-04,20:00,Air Defense Stadium
79,Zed,El Gouna,2,2025-11-09,17:00,Petro Sport Stadium
80,Ismaily,Smouha,1,2025-05-19,20:00,Borg El Arab
81,Future,El Dakhleya,1,2026-01-25,20:00,Military Academy Stadium
82,Al Ahly,Ceramica,1,2025-08-26,20:00,Zed Club Stadium
83,Zamalek,El Gouna,1,2025-09-05,17:00,Military Academy Stadium
84,El Gouna,Masry,2,2025-08-21,17:00,Al Salam Stadium
85,Talaea El Gaish,Pyramids,2,2025-05-09,20:00,Cairo Stadium
86,ENPPI,Talaea El Gaish,1,2025-08-16,20:00,Petro Sport Stadium
87,Smouha,Alexandria Union,1,2026-01-23,20:00,Al Salam Stadium
88,ENPPI,Smouha,2,2025-12-28,17:00,Petro Sport Stadium
