Individual,MatchNo,Team1,Team2,Date,Time,Venue,Leg
1,1,El Gouna,Zamalek,2025-09-27,17:00,El Sekka El Hadeed Stadium,2
1,2,Modern Sport,El Gouna,2025-10-09,20:00,Borg El Arab,2
1,3,El Dakhleya,Alexandria Union,2025-12-22,17:00,Borg El Arab,2
1,4,Smouha,Ceramica,2025-11-15,17:00,Military Academy Stadium,1
1,5,El Gouna,El Dakhleya,2025-08-21,17:00,Al Salam Stadium,2
1,6,Alexandria Union,ENPPI,2025-10-12,20:00,Petro Sport Stadium,2
1,7,Modern Sport,Zamalek,2025-11-30,17:00,Military Academy Stadium,2
1,8,Al Ahly,Talaea El Gaish,2025-12-24,20:00,Petro Sport Stadium,1
1,9,Pharco,Masry,2025-11-26,20:00,Petro Sport Stadium,2
1,10,Pyramids,Talaea El Gaish,2026-01-11,20:00,Alexandria Stadium,1
1,11,National Bank,Smouha,2025-05-03,17:00,Military Academy Stadium,2
1,12,Al Ahly,Modern Sport,2025-08-03,17:00,Military Academy Stadium,1
1,13,Modern Sport,Wadi Degla,2026-01-09,20:00,Cairo Stadium,1
1,14,Future,Al Ahly,2025-11-14,17:00,Cairo Stadium,2
1,15,Modern Sport,Ismaily,2025-10-10,17:00,Suez Stadium,2
1,16,Masry,Zed,2025-06-21,17:00,Cairo Stadium,1
1,17,Smouha,Pharco,2025-05-02,17:00,El Sekka El Hadeed Stadium,1
1,18,Al Ahly,Ceramica,2025-10-19,17:00,Zed Club Stadium,1
1,19,ENPPI,Modern Sport,2025-12-14,17:00,Zed Club Stadium,1
1,20,Ceramica,Wadi Degla,2025-09-28,20:00,Zed Club Stadium,1
1,21,Ceramica,Zed,2025-08-13,20:00,El Sekka El Hadeed Stadium,1
1,22,Future,Pharco,2025-06-18,20:00,Al Salam Stadium,1
1,23,Smouha,Masry,2025-05-31,20:00,Zed Club Stadium,2
1,24,Talaea El Gaish,National Bank,2025-06-24,20:00,Al Salam Stadium,2
1,25,Modern Sport,Pharco,2025-07-18,17:00,Air Defense Stadium,1
1,26,Smouha,El Gouna,2025-06-04,20:00,Zed Club Stadium,1
1,27,El Dakhleya,National Bank,2025-10-18,20:00,Borg El Arab,2
1,28,Al Ahly,Zamalek,2025-12-06,20:00,Zed Club Stadium,1
1,29,El Dakhleya,ENPPI,2025-07-13,17:00,Air Defense Stadium,2
1,30,Pyramids,Al Ahly,2026-01-21,20:00,Borg El Arab,2
1,31,El Gouna,Pyramids,2025-10-28,17:00,Alexandria Stadium,2
1,32,Modern Sport,National Bank,2025-07-18,20:00,Al Salam Stadium,2
1,33,Ismaily,ENPPI,2025-07-23,17:00,Petro Sport Stadium,1
1,34,Talaea El Gaish,Future,2025-05-20,20:00,El Sekka El Hadeed Stadium,2
1,35,Ismaily,Masry,2025-12-08,17:00,Zed Club Stadium,2
1,36,Alexandria Union,Smouha,2025-11-09,20:00,Petro Sport Stadium,2
1,37,Talaea El Gaish,Pyramids,2025-06-25,20:00,Cairo Stadium,2
1,38,Masry,El Gouna,2025-08-01,20:00,Air Defense Stadium,1
